Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Intentional Bodily Harm,Khanty–Mansi Autonomous Okrug – Yugra,2008,607.0,40.7,False
Intentional Bodily Harm,Yamalo-Nenets Autonomous Okrug,2008,207.0,39.5,False
Intentional Bodily Harm,Chelyabinsk Oblast,2008,1496.0,42.9,False
Intentional Bodily Harm,Altai Republic,2008,115.0,56.6,False
Intentional Bodily Harm,Republic of Buryatia,2008,692.0,71.7,False
Intentional Bodily Harm,Tuva Republic,2008,625.0,205.7,False
Intentional Bodily Harm,Republic of Khakassia,2008,254.0,47.8,False
Intentional Bodily Harm,Altai Krai,2008,926.0,37.7,False
Intentional Bodily Harm,Zabaykalsky Krai,2008,1017.0,91.5,False
Intentional Bodily Harm,Krasnoyarsk Krai,2008,1315.0,46.4,False
Intentional Bodily Harm,Irkutsk Oblast,2008,2388.0,97.3,False
Intentional Bodily Harm,Kemerovo Oblast,2008,1863.0,67.0,False
Intentional Bodily Harm,Novosibirsk Oblast,2008,1024.0,38.7,False
Intentional Bodily Harm,Omsk Oblast,2008,710.0,35.6,False
Intentional Bodily Harm,Tomsk Oblast,2008,437.0,42.6,False
Intentional Bodily Harm,Sakha (Yakutia) Republic,2008,727.0,75.8,False
Intentional Bodily Harm,Kamchatka Krai,2008,113.0,34.5,False
Intentional Bodily Harm,Primorsky Krai,2008,979.0,49.5,False
Intentional Bodily Harm,Khabarovsk Krai,2008,832.0,61.4,False
Intentional Bodily Harm,Amur Oblast,2008,495.0,58.6,False
Intentional Bodily Harm,Magadan Oblast,2008,90.0,54.9,False
Intentional Bodily Harm,Sakhalin Oblast,2008,277.0,54.4,False
Intentional Bodily Harm,Jewish Autonomous Oblast,2008,106.0,59.3,False
Intentional Bodily Harm,Chukotka Autonomous Okrug,2008,49.0,92.8,False
Rape,Russian Federation,2008,6208.0,4.3,True
Rape,Belgorod Oblast,2008,33.0,2.2,False
Rape,Bryansk Oblast,2008,43.0,3.3,False
Rape,Vladimir Oblast,2008,28.0,1.9,False
Rape,Voronezh Oblast,2008,39.0,1.7,False
Rape,Ivanovo Oblast,2008,52.0,4.8,False
Rape,Kaluga Oblast,2008,76.0,7.5,False
Rape,Kostroma Oblast,2008,38.0,5.6,False
Rape,Kursk Oblast,2008,46.0,4.0,False
Rape,Lipetsk Oblast,2008,37.0,3.1,False
Rape,Moscow Oblast,2008,290.0,4.2,False
Rape,Oryol Oblast,2008,18.0,2.2,False
Rape,Ryazan Oblast,2008,37.0,3.2,False
Rape,Smolensk Oblast,2008,41.0,4.1,False
Rape,Tambov Oblast,2008,39.0,3.5,False
Rape,Tver Oblast,2008,71.0,5.1,False
Rape,Tula Oblast,2008,38.0,2.4,False
Rape,Yaroslavl Oblast,2008,44.0,3.4,False
Rape,Moscow,2008,318.0,2.8,False
Rape,Republic of Karelia,2008,14.0,2.1,False
Rape,Komi Republic,2008,56.0,6.0,False
Rape,Arkhangelsk Oblast,2008,87.0,7.2,False
Rape,Nenets Autonomous Okrug,2008,1.0,2.4,False
Rape,Vologda Oblast,2008,43.0,3.5,False
Rape,Kaliningrad Oblast,2008,13.0,1.4,False
Rape,Leningrad Oblast,2008,58.0,3.4,False
Rape,Murmansk Oblast,2008,10.0,1.2,False
Rape,Novgorod Oblast,2008,30.0,4.6,False
Rape,Pskov Oblast,2008,28.0,4.0,False
Rape,Saint Petersburg,2008,119.0,2.5,False
Rape,Republic of Dagestan,2008,68.0,2.4,False
Rape,Republic of Ingushetia,2008,4.0,1.0,False
Rape,Kabardino-Balkar Republic,2008,34.0,4.0,False
Rape,Karachay-Cherkess Republic,2008,22.0,4.7,False
Rape,Republic of North Ossetia-Alania,2008,17.0,2.4,False
Rape,Chechen Republic,2008,11.0,0.9,False
Rape,Stavropol Krai,2008,68.0,2.5,False
Rape,Republic of Adygea,2008,14.0,3.2,False
Rape,Republic of Kalmykia,2008,9.0,3.1,False
Rape,Republic of Crimea,2008,,,False
Rape,Krasnodar Krai,2008,174.0,3.4,False
Rape,Astrakhan Oblast,2008,90.0,8.9,False
Rape,Volgograd Oblast,2008,153.0,5.8,False
Rape,Rostov Oblast,2008,163.0,3.8,False
Rape,Sevastopol,2008,,,False
Rape,Republic of Bashkortostan,2008,182.0,4.5,False
Rape,Mari El Republic,2008,51.0,7.2,False
Rape,Republic of Mordovia,2008,38.0,4.5,False
Rape,Republic of Tatarstan,2008,145.0,3.8,False
Rape,Udmurt Republic,2008,126.0,8.2,False
Rape,Chuvash Republic,2008,50.0,4.0,False
Rape,Perm Krai,2008,222.0,8.3,False
Rape,Kirov Oblast,2008,58.0,4.2,False
Rape,Nizhny Novgorod Oblast,2008,139.0,4.1,False
Rape,Orenburg Oblast,2008,98.0,4.8,False
Rape,Penza Oblast,2008,55.0,3.9,False
Rape,Samara Oblast,2008,101.0,3.1,False
Rape,Saratov Oblast,2008,57.0,2.2,False
Rape,Ulyanovsk Oblast,2008,51.0,3.9,False
Rape,Kurgan Oblast,2008,57.0,6.1,False
Rape,Sverdlovsk Oblast,2008,270.0,6.2,False
Rape,Tyumen Oblast,2008,97.0,7.4,False
Rape,Khanty–Mansi Autonomous Okrug – Yugra,2008,37.0,2.5,False
Rape,Yamalo-Nenets Autonomous Okrug,2008,30.0,5.7,False
Rape,Chelyabinsk Oblast,2008,195.0,5.6,False
Rape,Altai Republic,2008,25.0,12.3,False
Rape,Republic of Buryatia,2008,57.0,5.9,False
Rape,Tuva Republic,2008,160.0,52.7,False
Rape,Republic of Khakassia,2008,18.0,3.4,False
Rape,Altai Krai,2008,90.0,3.7,False
Rape,Zabaykalsky Krai,2008,85.0,7.6,False
Rape,Krasnoyarsk Krai,2008,157.0,5.5,False
Rape,Irkutsk Oblast,2008,163.0,6.6,False
Rape,Kemerovo Oblast,2008,103.0,3.7,False
Rape,Novosibirsk Oblast,2008,135.0,5.1,False
Rape,Omsk Oblast,2008,79.0,4.0,False
Rape,Tomsk Oblast,2008,25.0,2.4,False
Rape,Sakha (Yakutia) Republic,2008,74.0,7.7,False
Rape,Kamchatka Krai,2008,14.0,4.3,False
Rape,Primorsky Krai,2008,80.0,4.0,False
Rape,Khabarovsk Krai,2008,88.0,6.5,False
Rape,Amur Oblast,2008,39.0,4.6,False
Rape,Magadan Oblast,2008,10.0,6.1,False
Rape,Sakhalin Oblast,2008,36.0,7.1,False
